Country,Occupation,Female (Sex),Male (Sex),ratio
Luxembourg,"8. Plant and machine operators, and assemblers (ISCO-08)",2865.0,3616.0,0.7923119469026548
Luxembourg,9. Elementary occupations (ISCO-08),2662.0,2891.0,0.9207886544448288
Luxembourg,TOTAL. Total (ISCO-08),4536.0,4917.0,0.9225137278828553
Malta,1. Managers (ISCO-08),4380.0,5710.0,0.7670753064798599
Malta,2. Professionals (ISCO-08),3330.0,3980.0,0.8366834170854272
Malta,3. Technicians and associate professionals (ISCO-08),2906.0,3354.0,0.8664281454979129
Malta,4. Clerical support workers (ISCO-08),2361.0,2489.0,0.9485737243873041
Malta,5. Service and sales workers (ISCO-08),2205.0,2308.0,0.9553726169844021
Malta,7. Craft and related trades workers (ISCO-08),2247.0,2594.0,0.8662297609868929
Malta,"8. Plant and machine operators, and assemblers (ISCO-08)",2249.0,2558.0,0.8792025019546521
Malta,9. Elementary occupations (ISCO-08),1743.0,2052.0,0.8494152046783626
Malta,TOTAL. Total (ISCO-08),2682.0,3145.0,0.8527821939586645
Netherlands,1. Managers (ISCO-08),5406.0,7197.0,0.7511463109629012
Netherlands,2. Professionals (ISCO-08),4372.0,5317.0,0.822268196351326
Netherlands,3. Technicians and associate professionals (ISCO-08),3498.0,4595.0,0.7612622415669206
Netherlands,4. Clerical support workers (ISCO-08),3002.0,3485.0,0.8614060258249642
Netherlands,5. Service and sales workers (ISCO-08),2558.0,2774.0,0.9221341023792358
Netherlands,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2412.0,2565.0,0.9403508771929825
Netherlands,7. Craft and related trades workers (ISCO-08),2424.0,3431.0,0.7064995628096765
Netherlands,"8. Plant and machine operators, and assemblers (ISCO-08)",2639.0,3301.0,0.7994547106937292
Netherlands,9. Elementary occupations (ISCO-08),2114.0,2237.0,0.9450156459544032
Netherlands,TOTAL. Total (ISCO-08),3283.0,4148.0,0.7914657666345226
Poland,1. Managers (ISCO-08),3986.0,5513.0,0.7230183203337566
Poland,2. Professionals (ISCO-08),2547.0,3450.0,0.7382608695652174
Poland,3. Technicians and associate professionals (ISCO-08),2071.0,2722.0,0.7608376193975018
Poland,4. Clerical support workers (ISCO-08),1826.0,1871.0,0.9759486905398183
Poland,5. Service and sales workers (ISCO-08),1333.0,1513.0,0.8810310641110377
